,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,tp
0,54.60782,-5.5284632,0.141,0.0183,3.5,8.0,1.38,4.72
1,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
2,55.1829096,-6.7187008,0.157,0.0246,1.5,8.0,2.26,7.11
3,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
4,54.43663,-5.468761,0.17,0.028,3.6,8.0,1.55,4.9
5,55.14923165,-6.911043807,0.19,0.0375,1.6,8.0,2.18,6.88
6,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
7,54.60782,-5.5284632,0.141,0.0183,3.5,8.0,1.38,4.72
8,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
9,54.2214981,-5.888508073,0.15,0.0095,5.0,8.0,1.38,4.72
10,55.15283,-8.155428,0.21,0.0202,3.4,8.0,2.18,6.88
11,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
12,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
13,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
14,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
15,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
16,55.2308398,-6.5191838,0.28,0.0329,1.5,8.0,2.18,6.88
17,54.6754993,-5.7360033,0.248,0.0522,3.3,8.0,1.37,4.7
18,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
19,55.2869665,-7.166544,0.23,0.0446,2.9,8.0,2.18,6.88
20,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
21,54.0626664,-6.0059949,0.233,0.0511,4.0,8.0,1.38,4.72
22,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
23,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
24,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
25,54.8980658,-5.857875,0.218,0.0639,1.9,8.0,1.52,4.89
26,55.1829096,-6.7187008,0.157,0.0246,1.5,8.0,2.26,7.11
27,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
28,55.16358,-6.877426824,0.157,0.0194,1.6,8.0,2.05,6.89
29,54.5543518,-8.2097755,0.14,0.0139,3.3,8.0,2.18,6.88
30,55.2351801,-6.4035644,0.229,0.035,1.2,8.0,2.41,7.22
31,55.16358,-6.877426824,0.157,0.0194,1.6,8.0,2.05,6.89
32,54.8980658,-5.857875,0.218,0.0639,1.9,8.0,1.52,4.89
33,55.16482,-6.7884142,0.166,0.0214,1.5,8.0,2.26,7.11
34,55.14923165,-6.911043807,0.19,0.0375,1.6,8.0,2.18,6.88
35,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
36,55.1929825,-7.8366689,0.14,0.0134,3.4,8.0,2.18,6.88
37,55.20230445,-6.655600131,0.186,0.032,1.5,8.0,2.34,7.17
38,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
39,55.2065203,-6.613315323,0.197,0.0352,1.5,8.0,2.34,7.17
40,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
41,55.2065203,-6.613315323,0.197,0.0352,1.5,8.0,2.34,7.17
42,54.30013545,-5.558462473,0.286,0.0337,3.8,8.0,1.38,4.72
43,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
44,55.15283,-8.155428,0.21,0.0202,3.4,8.0,2.18,6.88
45,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
46,54.25,-5.766667,0.137,0.0088,5.0,8.0,1.38,4.72
47,54.7038025,-6.363023532,0.214,0.0161,4.0,8.0,1.53,4.88
48,55.16482,-6.7884142,0.166,0.0214,1.5,8.0,2.26,7.11
49,54.84199,-8.443956,0.18,0.0218,3.4,8.0,2.18,6.88
50,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
51,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
52,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
53,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
54,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
55,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
56,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
57,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
58,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
59,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
60,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
61,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
62,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
63,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
64,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
65,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
66,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
67,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
68,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
69,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
70,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
71,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
72,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
73,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
74,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
75,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
76,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
77,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
78,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
79,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
80,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
81,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
82,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
83,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
84,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
85,55.1252468,-6.0423483,0.397,0.1037,1.6,8.0,1.28,4.61
86,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
87,55.2006882,-6.250282,0.634,0.0823,0.9,8.0,2.52,7.36
